bible_minded_ranking,markets,dma,market_name,name,cartodb_id,point_count_no_message,point_count_n,point_count_y,billboard_numbers,count_total,message_audience,point_count_total
1,CHATTANOOGA,575,"Chattanooga, TN",CHATTANOOGA,73,2,1,0,2,3,Message Not Available,
1,CHATTANOOGA,575,"Chattanooga, TN",CHATTANOOGA,73,2,1,0,1,3,Non-Christians,
1,CHATTANOOGA,575,"Chattanooga, TN",CHATTANOOGA,73,2,1,0,0,3,Christians,
2,BIRMINGHAM,630,"Birmingham, AL",BIRMINGHAM,107,6,0,0,6,6,Message Not Available,
2,BIRMINGHAM,630,"Birmingham, AL",BIRMINGHAM,107,6,0,0,0,6,Non-Christians,
2,BIRMINGHAM,630,"Birmingham, AL",BIRMINGHAM,107,6,0,0,0,6,Christians,
3,ROANOKE-LYNCHBURG,573,"Roanoke-Lynchburg, VA",ROANOKE-LYNCHBURG,71,1,1,0,1,2,Message Not Available,
3,ROANOKE-LYNCHBURG,573,"Roanoke-Lynchburg, VA",ROANOKE-LYNCHBURG,71,1,1,0,1,2,Non-Christians,
3,ROANOKE-LYNCHBURG,573,"Roanoke-Lynchburg, VA",ROANOKE-LYNCHBURG,71,1,1,0,0,2,Christians,
4,"TRI-CITIES, TN-VA",531,"Tri-Cities, TN","TRI-CITIES, TN-VA",32,1,0,2,1,3,Message Not Available,
4,"TRI-CITIES, TN-VA",531,"Tri-Cities, TN","TRI-CITIES, TN-VA",32,1,0,2,0,3,Non-Christians,
4,"TRI-CITIES, TN-VA",531,"Tri-Cities, TN","TRI-CITIES, TN-VA",32,1,0,2,2,3,Christians,
5,SHREVEPORT,612,"Shreveport, LA",SHREVEPORT,94,3,0,2,3,5,Message Not Available,
5,SHREVEPORT,612,"Shreveport, LA",SHREVEPORT,94,3,0,2,0,5,Non-Christians,
5,SHREVEPORT,612,"Shreveport, LA",SHREVEPORT,94,3,0,2,1,5,Christians,
6,CHARLOTTE,517,"Charlotte, NC",CHARLOTTE,18,2,3,2,2,7,Message Not Available,
6,CHARLOTTE,517,"Charlotte, NC",CHARLOTTE,18,2,3,2,3,7,Non-Christians,
6,CHARLOTTE,517,"Charlotte, NC",CHARLOTTE,18,2,3,2,2,7,Christians,
7,"SPRINGFIELD, MO",619,"Springfield, MO","SPRINGFIELD, MO",99,3,0,0,3,3,Message Not Available,
7,"SPRINGFIELD, MO",619,"Springfield, MO","SPRINGFIELD, MO",99,3,0,0,0,3,Non-Christians,
7,"SPRINGFIELD, MO",619,"Springfield, MO","SPRINGFIELD, MO",99,3,0,0,0,3,Christians,
8,LITTLE ROCK-PINE BLUFF,693,"Little Rock-Pine Bluff, AR",LITTLE ROCK-PINE BLUFF,147,3,0,0,3,3,Message Not Available,
8,LITTLE ROCK-PINE BLUFF,693,"Little Rock-Pine Bluff, AR",LITTLE ROCK-PINE BLUFF,147,3,0,0,0,3,Non-Christians,
8,LITTLE ROCK-PINE BLUFF,693,"Little Rock-Pine Bluff, AR",LITTLE ROCK-PINE BLUFF,147,3,0,0,0,3,Christians,
9,KNOXVILLE,557,"Knoxville, TN",KNOXVILLE,58,4,3,1,4,8,Message Not Available,
9,KNOXVILLE,557,"Knoxville, TN",KNOXVILLE,58,4,3,1,3,8,Non-Christians,
9,KNOXVILLE,557,"Knoxville, TN",KNOXVILLE,58,4,3,1,1,8,Christians,
10,GREENVLL-SPART-ASHEVLL-AND,567,"Greenville-Spartanburg, SC/Asheville, NC",GREENVLL-SPART-ASHEVLL-AND,67,5,0,0,5,5,Message Not Available,
10,GREENVLL-SPART-ASHEVLL-AND,567,"Greenville-Spartanburg, SC/Asheville, NC",GREENVLL-SPART-ASHEVLL-AND,67,5,0,0,0,5,Non-Christians,
10,GREENVLL-SPART-ASHEVLL-AND,567,"Greenville-Spartanburg, SC/Asheville, NC",GREENVLL-SPART-ASHEVLL-AND,67,5,0,0,0,5,Christians,
11,,541,"Lexington, KY",LEXINGTON,42,1,0,0,1,1,Message Not Available,
11,,541,"Lexington, KY",LEXINGTON,42,1,0,0,0,1,Non-Christians,
11,,541,"Lexington, KY",LEXINGTON,42,1,0,0,0,1,Christians,
12,"JACKSON, MS",718,"Jackson, MS","JACKSON, MS",156,1,0,0,1,1,Message Not Available,
12,"JACKSON, MS",718,"Jackson, MS","JACKSON, MS",156,1,0,0,0,1,Non-Christians,
12,"JACKSON, MS",718,"Jackson, MS","JACKSON, MS",156,1,0,0,0,1,Christians,
13,"HUNTSVILLE-DECATUR,FLOR",691,"Huntsville-Decatur-Florence, AL","HUNTSVILLE-DECATUR,FLOR",145,3,1,0,3,4,Message Not Available,
13,"HUNTSVILLE-DECATUR,FLOR",691,"Huntsville-Decatur-Florence, AL","HUNTSVILLE-DECATUR,FLOR",145,3,1,0,1,4,Non-Christians,
13,"HUNTSVILLE-DECATUR,FLOR",691,"Huntsville-Decatur-Florence, AL","HUNTSVILLE-DECATUR,FLOR",145,3,1,0,0,4,Christians,
14,SAVANNAH,507,"Savannah, GA",SAVANNAH,8,2,2,1,2,5,Message Not Available,
14,SAVANNAH,507,"Savannah, GA",SAVANNAH,8,2,2,1,2,5,Non-Christians,
14,SAVANNAH,507,"Savannah, GA",SAVANNAH,8,2,2,1,1,5,Christians,
15,OKLAHOMA CITY,650,"Oklahoma City, OK",OKLAHOMA CITY,125,4,0,1,4,5,Message Not Available,
15,OKLAHOMA CITY,650,"Oklahoma City, OK",OKLAHOMA CITY,125,4,0,1,0,5,Non-Christians,
15,OKLAHOMA CITY,650,"Oklahoma City, OK",OKLAHOMA CITY,125,4,0,1,1,5,Christians,